,English,Hindi
7766,shankarlal,शंकरलाल
7767,intercepts reasserted,अवरोध पुनः दावा किया गया
7768,debauchery,ऐयाशी
7769,centimetre,सेंटीमीटर
7770,amusements,एम्यूजमेंट
7771,hollowness prospectus,खोखलेपन सूचीपत्र
7772,soundproof,ध्वनिरहित
7773,corbelling vocabulary,कॉर्बेलिंग शब्दावली
7774,replanting subdivided,पुनर्रोपण उप-विभाजित किया
7775,pretending,नाटक
7776,infighting astadhyayi,अंदरूनी कलह अष्टाध्यायी
7777,cheesecake symbolises,चीज़केक प्रतीक
7778,imaginable shoshlekha yugoslavia,कल्पनीय शोशलेखा यूगोस्लाविया
7779,soundbites anticipate,रैडियो या टीवी पर भाषण का अंश अंदाज़ा लगाना
7780,caseworker karnakutas,परिचारिका कर्णकुटास
7781,concession guidebooks divisional,छूट मार्गदर्शक पुस्तकें प्रभागीय
7782,smattering,गिरोह
7783,antibiotic stuttering,एंटीबायोटिक हकलाना
7784,smoothened,चिकना किया हुआ
7785,straightly elachander,सीधे तौर पर एलाचंदर
7786,boundaries khrushchev strictures,सीमाएँ ख्रुश्चेव बाध्यताओं
7787,networking thackersey,नेटवर्किंग थ्रैक्रसे
7788,kathamandu expectedly,काठमांडू प्रत्याशित
7789,cultivator definitely,कृषक निश्चित रूप से
7790,quarrelled colleagues,झगड़ा सहकर्मी
7791,distinctly injunction,साफ़ तौर पर निषेधाज्ञा
7792,regrouping swantantra,पुनर्वर्गीकरण स्वतंत्र
7793,tumultuous,उतार-चढ़ाव भरे
7794,stationery,लेखन सामग्री
7795,workaholic,काम में डूबे रहने वाला
7796,kunjipalat,कुंजिपलाट
7797,asbestosis,अभ्रक
7798,wikipiedea,विकिपीडिया
7799,shurpankha,शूर्पणखा
7800,rebellious,बगावती
7801,majorities captivates,बहुमत मंत्रमुग्ध
7802,tenderness nitandhara,कोमलता नितंधरा
7803,virtuosity discourses bengladesh,कलाप्रवीण प्रवचन बांग्लादेश
7804,absolutist,निरंकुश शासन से सहमत
7805,caledonian,स्काटिश
7806,exposition condolence,प्रदर्शनी शोक
7807,superfluid,अतितरल
7808,streamflow,धारा प्रवाह
7809,reproached suspending polyploids,तुम्हारी निन्दा निलंबित पॉलीप्लोइड्स
7810,trichandra indecisive,त्रिचंद्र दुविधा में पड़ा हुआ
7811,thelongrun,लंबा समय
7812,attachment violations reinstated,लगाव उल्लंघन फिर से बहाल
7813,geospatial maharashta,भू-स्थानिक महाराष्ट्र
7814,farfetched explicitly,दूर की कौड़ी स्पष्ट रूप से
7815,varshakala ideational dissidents,वर्षाकाल विचारात्मक असंतुष्टों
7816,protective stabilizes ordinarily,रक्षात्मक स्थिर आमतौर पर
7817,skirmishes emboldened,झड़पों उत्साहित
7818,stregnthed unsuitable persuation,सशक्त अनुपयुक्त प्रोत्साहन
7819,sanchuster vociferous greenhouse,संचुस्टर मुखर ग्रीन हाउस
7820,landslides,भूस्खलन
7821,pondichery,पांडिचेरी
7822,whomsoever,जिस किसी
7823,regenerate appreicate,पुनः जेनरेट मूल्यांकन करना
7824,chorichora,चोरिचोरा
7825,brainwaves chaturvedi,मस्तिष्क तरंगे चतुर्वेदी
7826,cercopidae shikohabad determined,सर्कोपिडी शिकोहाबाद दृढ़ निश्चय वाला
7827,curtailing profiteers,कटौती मुनाफाखोरों
7828,entreating permisiion,बिनती अनुमति
7829,introspect englishman,आत्मनिरीक्षण अंग्रेज़
7830,chandrauli uttrakhand,चंदरौली उत्तराखंड
7831,aishwariya,ऐश्वर्या
7832,imprimatur,इजाज़त
7833,assistance aparbrahma,सहायता अपरब्रह्म
7834,dumbstruck taluqadars thickening,हक्का - बक्का रह जाना तालुकदार और अधिक मोटा होना
7835,clinically satyagraha,चिकित्सकीय सत्याग्रह
7836,inhibiting nudeotides centigrade,बाधा न्यूडोटाइड्स सेंटीग्रेड
7837,solidarity emphasized,एकजुटता पर बल दिया
7838,recuperate prosecuted,स्वस्थ हो जाना मुकदमा चलाया
7839,majestyand,महामहिम
7840,sculpturss,मूर्तिकार
7841,innumeracy retaliated,असंख्यता जवाबी कार्रवाई
7842,lehertaara,लहरतारा
7843,rajputhana,राजपूताना
7844,meaningful imperative,सार्थक अनिवार्य
7845,opprobrium,अपमान
7846,wardathoan innumeracy institutes,वार्डथोअन असंख्यता संस्थान का
7847,untenanted,किराए पर उठे बिना
7848,improvised dvarapalas bookiegate,इम्प्रोवाइज्ड द्वारपाल बुकीगेट
7849,monolithic,अखंड
7850,watersheds,वाटरशेड
7851,inwardness protoplasm,अंदर की ओर पुरस
7852,bungladesh disputable,बांग्लादेश विवादास्पद
7853,ascendants,आरोही
7854,obstructed,बाधित
7855,adjudicate stringency,निर्णय करना अभाव
7856,annapurnam constructs concussion,अन्नपूर्णम निर्माणों हिलाना
7857,consanants,व्यंजन
7858,beneficent,उपकारवाला
7859,pratapgarh,प्रतापगढ़
7860,stragglers overvalued,घुमक्कड़ अधिक मूल्यांकित
7861,indefinate,अनिश्चित
7862,crimescape sandwiches,क्राइमस्केप सैंडविच
7863,workersand horizontal,कार्यकर्ताऔर क्षैतिज
7864,subscribed companiies,सदस्यता लिया कंपनियों
7865,harmonious muthubhood,सामंजस्यपूर्ण मुथुबुड
7866,liveliness,जीवंतता
7867,shaktibaan interfaces despicable,शक्तिबाण इंटरफेस नीच
7868,karvanseri,कारवांसेरी
7869,janmasthan,जन्मस्थान
7870,visalakshi,विशालाक्षी
7871,promptness,मुस्तैदी
7872,shikohabad,शिकोहाबाद
7873,conversant,दक्ष
7874,unimposing,निराधार
7875,profession,पेशा
7876,mozambique,मोज़ाम्बिक
7877,smoothness,चिकनाई
7878,landowners taluqadars,जमीन मालिकों तालुकदार
7879,puzzlingly supplement shatrughan,उलझन पैदा करते हुए परिशिष्ट शत्रुघ्न
7880,pollinated downstairs muttawakil,परागण सीढ़ी के नीचे मुत्तावकिल
7881,amarkoshid,अमरकोशीड
7882,normalized propotions,सामान्यीकृत अनुपात
7883,laughingly fahrenheit,हँसकर फ़ारेनहाइट
7884,subroutine farooqabad stratchers,सबरूटीन फरुखाबाद स्ट्रेचर
7885,jogeshvari embouchure,जोगेश्वरी मुहाना
7886,apartments assembling,अपार्टमेंट कोडांतरण
7887,haptanasia reluctance,हप्तानेशिया अनिच्छा
7888,proficient programmer,प्रवीण प्रोग्रामर
7889,understood bodhisatva enjoyments,समझा बोधिसत्त्व आनंदों
7890,vajrshwari,वज्रेश्वरी
7891,adventurer touchstone,साहसी कसौटी
7892,sudhodhana constraint sankhyayan,सुधोधन बाधा सांख्यायन
7893,overturned,पलट जाना
7894,magistrate,मजिस्ट्रेट
7895,congruence motherland,अनुरूपता मातृभूमि
7896,supporting,सहायक
7897,affidavits,हलफनामों
7898,bailadilla,बैलाडीला
7899,guidebooks legionella inwarrence,मार्गदर्शक पुस्तकें लीजोनेला आक्रमण
7900,mussalmans,मुसलमान
7901,profusions,बहुतायत
7902,seniormost,वरिष्ठतम
7903,insanitary sympathies,अस्वास्थ्यकर सहानुभूति
7904,vidyapathi,विद्यापति
7905,efficiency,क्षमता
7906,conspiring,साजिश रचने
7907,blitzkrieg collecting,बमवर्षा एकत्र
7908,minimising,कम से कम
7909,depressing,दबाकर
7910,atrocities informants,अत्याचार मुखबिर
7911,repugnancy,उस विरोध
7912,intervakof dissenters,इंटरवाकोफ़ असंतुष्ट
7913,sauerkraut,खट्टी गोभी
7914,commission,आयोग
7915,dismantles,विघटित करता है
7916,worldpress,वैश्विक प्रेस
7917,consideres creativity,मानता है रचनात्मकता
7918,durdarshan,दूरदर्शन
7919,sanatanist thathiriya,सनातनवादी ठठिरिया
7920,precocious accelerate timethough,असामयिक तेजी लाने हालांकि समय
7921,raghuvamsh,रघुवंश
7922,directness,सादगी
7923,umaiyandar,उमैयंदर
7924,criticized,आलोचना की
7925,ecosystems flowerbugs,पारिस्थितिकी प्रणालियों फूल के कीड़े
7926,kabirpanti,कबीरपंती
7927,yudhishtar,युधिष्टर
7928,secretions,स्राव
7929,downgraded undertaken,डाउनग्रेड कार्य शुरू
7930,ragoowansi situations eliminator,रागूवांसी स्थितियों एलिमिनेटर
7931,trumpeters,तुरही
7932,afterwords smartmodem defaulters,समापन स्मार्टमोडेम बकाएदारों
7933,ramshackle,जीर्ण
7934,incubators extraneous,इनक्यूबेटर बाहरी
7935,hateshwari dasavatara,हटेश्वरी दशावतार
7936,principled,सिद्धांतवादी
7937,telescopic,दूरबीन
7938,develoment,विकास
7939,unhindered,निर्बाध
7940,offensives,हमले
7941,regardless remebering,ध्यान दिए बगैर याद कर रहा हूँ
7942,bharathiya bequeathed,भारतिया वसीयत
7943,derivative expandable expansions,यौगिक विस्तार विस्तार
7944,prperitary,प्रारंभिक
7945,switchover,पर स्विच
7946,dislocated tarmungali,उखड़ तारमुंगली
7947,precedence discoverer,प्रधानता खोजकर्ता
7948,tungbhadra maheshwari chintpurni,तुंगभद्रा माहेश्वरी चिंतपूर्णी
7949,parchments hatredness headstrong,चर्मपत्र घृणा हठी
7950,castewhich principlea,जाति जो सिद्धांत
7951,adjectives,विशेषण
7952,plasticity,प्लास्टिसिटी
7953,documentsa,दस्तावेज़ए
7954,rollvaling viewpoints flourishes,रोलवेलिंग दृष्टिकोण पनपी
7955,possiblity downsizing fatherland,संभावना आकार घटाने पैतृक भूमि
7956,concentric,गाढ़ा
7957,subsection bestseller,उपधारा सर्वश्रेष्ठ विक्रेता
7958,increasing falsehoods shwetambar,की बढ़ती झूठ श्वेताम्बर
7959,elucidated,स्पष्ट
7960,ultimately,अंत में
7961,shrotriyas,श्रोत्रिय
7962,adaptation saikandara,अनुकूलन सैकंदरा
7963,complicity,सहापराध
7964,incapacity,अक्षमता
7965,leveraging,इस्तेमाल
7966,integrator,करनेवाला
7967,khengarpur stoneflies,खेंगरपुर पत्थर मक्खियाँ
7968,leveraging indicators enrollment,इस्तेमाल संकेतक उपस्थिति पंजी
7969,executives consortium,अधिकारियों संघ
7970,excavation,उत्खनन
7971,distillery,आसवनी
7972,brahminism,ब्राह्मणवाद
7973,embioptera,एम्बियोप्टेरा
7974,percentile,प्रतिशतता
7975,fullfilled tungbhadra,पूरा तुंगभद्रा
7976,synonymous,पर्याय
7977,powerhouse windshield,बिजलीघर विंडशील्ड
7978,transhuron,ट्रांसहुरोन
7979,solidarity,एकजुटता
7980,glorifying encounters,महिमा मुठभेड़ों
7981,importence prabhabati instigated,महत्व प्रभाती उकसाया
7982,blackberry,ब्लैकबेरी
7983,untroubled,बेपरवाह
7984,judgements assailants,निर्णय हमलावरों
7985,guarantees ganeshlena cerebrally,गारंटी गणेशलेना मस्तिष्कीय रूप से
7986,arnivchani pineapples,अर्निव्चनी अनानास
7987,repressive plasticity,दमन का प्लास्टिसिटी
7988,passengers,यात्रियों
7989,ostensibly,जाहिरा तौर पर
7990,underlined,रेखांकित
7991,progressed,आगे बढ़े
7992,alleviates,दूर
7993,heptanesia,हेप्टेनेसिया
7994,sydneyhome,सिडनीहोम
7995,subsidized informally,रियायती अनौपचारिक रूप से
7996,devenagari,देवनागरी
7997,ravalapudi,रावलपुडी
7998,saturation,परिपूर्णता
7999,humiliates reducedand canterbury,उनका अपमान कम किया गया कैंटरबरी
8000,precidency montgomery,प्रधानता मॉन्टगोमेरी
8001,influenced,प्रभावित
8002,vidhyawati motorcycle,विद्यावती मोटरसाइकिल
8003,annoyances dasmaskand immigrants,खीज दशमस्कंद आप्रवासियों
8004,autocrates,निरंकुश
8005,yugdrashta systematic fossilised,युगदृष्टा व्यवस्थित जीवाश्म
8006,virashaiva detectives inherently,वीरशैव जासूस स्वाभाविक
8007,janasangya,जनसंज्ञ
8008,typescript accessible,टाइपप्रति पहुंच योग्य
8009,chitranjan,चितरंजन
8010,annoyances,खीज
8011,andhraites,आंध्रवासी
8012,merriments,मौज-मस्ती
8013,nirwaachan,निर्वाण
8014,hypnotized,सम्मोहित
8015,therthrajy,थेर्थराजी
8016,excretions,उत्सर्जन
8017,neuropathy,न्युरोपटी
8018,contenders,दावेदार
8019,misaligned reconciled prosecutor,अनमेल मेल मिलाप अभियोक्ता
8020,symbolized detergents,प्रतीकात्मक डिटर्जेंट
8021,kshalokoan logistical,क्षलोकोन साजो
8022,chhandogya,छांदोग्य
8023,stimulates,उत्तेजित करता है
8024,unlikeness,असमानता
8025,mortarless,मोर्टार रहित
8026,accidental,आकस्मिक
8027,indulgence,आसक्ति
8028,accentuate,दबाव का चिह्न
8029,odantapuri,ओदंतपुरी
8030,chaturvedi,चतुर्वेदी
8031,adjustable alimentary irradiated,एडजस्टेबल पाचन विकिरणित
8032,acoustical,ध्वनिक
8033,perception persuasive frustrated,धारणा प्रेरक निराश
8034,mukhssraot bahawalpur,मुखस्राव बहावलपुर
8035,fledglings,नवेली
8036,facilities,सुविधाएँ
8037,historythe,इतिहास
8038,maltreated,दुर्व्यवहार किया गया
8039,standstone,स्टैंडस्टोन
8040,crucifixes,सूली पर चढ़ना
8041,scrapbooks preventive zuckerberg,स्क्रैपबुक निवारक ज़ुकेरबर्ग
8042,attainment,प्राप्ति
8043,manchester,मैनचेस्टर
8044,agreements unfamiliar auditioned,करार अनजान ऑडिशन दिया
8045,clumsiness singularly daydreamer,भद्दापन अकेले आदर्शवादी
8046,grievances,शिकायतें
8047,decoration,सजावट
8048,contrversy,विवाद
8049,protestors airhostess,प्रदर्शनकारी एयर होस्टेस
8050,dramatised unhygienic,नाटकीय मैली
8051,apologetic,क्षमाशील
8052,ultimatums aberration recognises,अल्टिमेटम विपथन पहचानता
8053,satisfying,संतुष्टि देने वाला
8054,inundation,सैलाब
8055,psychopath,मनोरोगी
8056,deputation missionary radiophone,नियुक्ति मिशनरी रेडियो-टेलीफोन
8057,nirvaachan orgination,निर्वचन उत्पत्ति
8058,travelling farooqabad,यात्रा का फरुखाबाद
8059,inverarity discoursed,अपरिवर्तनशीलता प्रवचन किया
8060,mentioning,उल्लेख
8061,dwaipayana,द्वैपायन
8062,connection rheumatism,कनेक्शन गठिया
8063,jayadratha,जयद्रथ
8064,curriculum suddodhana predicated,पाठ्यक्रम सुद्दोधन प्रतिपादित
8065,distancing,दूरी
8066,admonished,चेताया
8067,narakasura,नरकासुर
8068,subjectthe,विषय
8069,intellects,बुद्धि
8070,sanyavasta,संयवस्था
8071,descriptin empathetic,विवरण सहानुभूति
8072,publishers,प्रकाशकों
8073,insulation satyagrahi convenants,इन्सुलेशन सत्याग्रही संयोजक
8074,prophecies assumption interferes,भविष्यवाणी मान्यता दखल देती है
8075,overridden,ओवरराइड
8076,likelihood unresolved,संभावना अनसुलझे
8077,university,विश्वविद्यालय
8078,themselves yugoslavia premchands,खुद यूगोस्लाविया प्रेमचंद
8079,proceeding inaugurate,कार्यवाही का उद्घाटन
8080,eranshahri kunnakkudi,एरानशहरी कुन्नक्कुडी
8081,earthworms clausewitz,केंचुआ क्लाउजविट्ज़
8082,horizontal visibility electrical,क्षैतिज दृश्यता विद्युतीय
8083,overpriced,अधिक
8084,carpenters credential,बढई का क्रेडेंशियल
8085,cornflakes,मक्कई के टुकड़े
8086,mohinuddin nitandhara,मोहिनुद्दीन नितंधरा
8087,vishvanath,विश्वनाथ
8088,farfetched,दूर की कौड़ी
8089,clinically varahmihir,चिकित्सकीय वराहमिहिर
8090,transilate,अनुवाद करना
8091,attendants kinematics,परिचारक गतिकी
8092,empedocles definitive convicting,एम्पिदोक्लेस अंतिम सजा दिलवाने
8093,tasthayaie,तस्थयै
8094,squandered hailstones,गंवा ओले
8095,rheumatism privatized,गठिया निजीकरण
8096,chandrauli,चंदरौली
8097,putatively,कथित रूप से
8098,farooqabad,फरुखाबाद
8099,papillaris britainnot,पैपिलारिस ब्रिटेननॉट
8100,remarkable,विलक्षण
8101,handmaiden,नौकर
8102,anusheelan quitestiff,अनुशीलन काफी कड़ा
8103,formalized,औपचारिक रूप दिया
8104,whirlpools,भंवर
8105,ejectments,निष्कासन
8106,vandalised,तोड़-फोड़
8107,assertions lakshagruh,इस प्रकार के दावे लाक्षागृह
8108,directives,निर्देशों
8109,shivasukha airwaysand,शिवसुख वायुमार्गऔर
8110,kittewalla,कित्तेवाला
8111,rajanikidh,रजनीकिध
8112,wednesdays,बुधवार
8113,exactitude secularity,शुद्धता धर्मनिरपेक्षता
8114,renovating,मरम्मत
8115,royapettah,रोयापेट्टा
8116,biopolymer minuteness,जैव बहुलक छोटापन
8117,urbanizing,शहरीकरण
8118,unassuming,नम्र
8119,grapevines,अंगूर की लताएँ
8120,projection,अनुमान
8121,chintrajan,चिंतराजन
8122,preference,वरीयता
8123,cincinnati criticises scrutinied,सिनसिनाटी की आलोचना जांच की गई
8124,affiliates,संबद्ध
8125,scribbling babysitter,लिखना दाई
8126,calotropis,कैलोट्रोपिस
8127,incapacity supermodel,अक्षमता सुपर मॉडल
8128,derisively,उपहासपूर्वक
8129,cumbersome supporters,बोझिल समर्थकों
8130,playwright demolished,नाटककार ध्वस्त
8131,remarkable mumtazganj,विलक्षण मुमताजगंज
8132,hahahahaha,हाहाहाहाहा
8133,extjudical,न्यायेतर
8134,calotropis deciphered,कैलोट्रोपिस मतलब निकाला
8135,historical,ऐतिहासिक
8136,nomination paraglider,नामांकन पैराग्लाइडर
8137,marsupials rajanikidh,धानी रजनीकिध
8138,exaltation,उमंग
8139,newspapers,समाचार पत्र
8140,constricts,संकुचित करता है
8141,swaggering,अकड़कर
8142,nightmares,बुरे सपने
8143,jalpaiguri appetizing,जलपाईगुड़ी स्वादिष्ट
8144,ulhasnagar fearlessly haptanesia,उल्हासनगर बेधड़क हैपटनेसिया
8145,rangbhoomi,रंगभूमि
8146,suggestive,विचारोत्तेजक
8147,bhikhashah,भीखाशाह
8148,transacted aishwariya,लेन-देन ऐश्वर्या
8149,castewhich,जाति जो
8150,gadkattang sunbathers precursors,गडकट्टंग धूप सेंकने वाले शगुन
8151,structural immemorial,संरचनात्मक पुरातन
8152,rangarajan sirajuddin extraction,रंगराजन सिराजुद्दीन निष्कर्षण
8153,dronamukha,द्रोणमुख
8154,represents wheelchair richardson,का प्रतिनिधित्व करता है व्हीलचेयर रिचर्डसन
8155,situastuin kilometres,स्थिति किलोमीटर
8156,incarnated regularity,अवतीर्ण नियमितता
8157,personalty himalayans,जंगम संपत्ति हिमालयवासी
8158,rheumatold,रूमेटोल्ड
8159,vijaynagar alcoholism insperable,विजयनगर शराब अविभाज्य
8160,inosculate,एकत्रित कर देना
8161,prediction suppressor,भविष्यवाणी दबानेवाला
8162,appearance bolleywood geetapress,उपस्थिति बॉलीवुड गीताप्रेस
8163,bramhagana,ब्रम्हगण
8164,judicially inhumanity,न्यायिक बेदर्दी
8165,chronicles,इतिहास
8166,multiplied,गुणा किया हुआ
8167,dyscrasias,डिस्क्रेसियास
8168,dissidence,मतभेद
8169,domination,प्रभुत्व
8170,judgements,निर्णय
8171,fortuitous alienating demarcated,आकस्मिक अलगाव की भावना सीमांकन
8172,judicially pakisthani neccessity,न्यायिक पाकिस्तानी ज़रूरत
8173,discarding displeased deplorable,छोड़ना अप्रसन्न खेदजनक
8174,protruding,निकला हुआ
8175,propelling chathavadi,फेंकने योग्य छठवाडी
8176,fertilised admonished,निषेचित चेताया
8177,reducedand,कम किया गया
8178,agrculture,कृषि
8179,inducement sanatanist,प्रलोभन सनातनवादी
8180,yearalmost imperialis horizontal,लगभग वार्षिक साम्राज्यवादी क्षैतिज
8181,reinforces stunningly,पुष्ट आश्चर्यजनक
8182,wherefores markandeya exonerated,इसलिए मार्कंडेय बरी
8183,phenomenal hesitating acoustical,अभूतपूर्व झिझक ध्वनिक
8184,hornchurch,हॉर्नचर्च
8185,touchstone,कसौटी
8186,radiolinga,रेडियोलिंगा
8187,squabbling,विवादों
8188,dhyanchand unobserved,ध्यानचंद अप्रत्यक्ष
8189,ethiquital bricklayer,नैतिक ईंट बिछाने
8190,prabhawati,प्रभावती
8191,enunciated,प्रतिपादित
8192,podcasting,पॉडकास्टिंग
8193,copenhagen jhadaphiya,कोपेनहेगन झड़फिया
8194,completion deliveries,समापन कूिरयर
8195,kallamatha,कल्लामाथा
8196,varnashram,वर्णाश्रम
8197,sharadbabu ecmascript,शरदबाबू एकमा स्क्रिप्ट
8198,condolence,शोक
8199,karamchand manabendra,करमचंद मानवेंद्र
8200,brilliance,प्रतिभा
8201,mrityuloka,मृत्युलोक
8202,planeatary,ग्रहीय
8203,bookkeeper,बहीखाता लिखनेवाला
8204,christiaan,क्रिस्टियन
8205,blitzkrieg konektikat,बमवर्षा कनेक्टिकट
8206,uzbekistan robustness,उज़्बेकिस्तान मजबूती
8207,redrafting,पुनः प्रारूपण
8208,serrations,दाँतेदारियाँ
8209,perpetuate,यादगार बनाना
8210,dhanteeras overtaking shahanshah,धनतेरस ओवरटेकिंग शहंशाह
8211,windowsill daydreamed,खिड़की दिवास्वप्न देखा
8212,reevaluate vimanasthe factsheets,पुनर्मूल्यांकन विमानस्थे तथ्य पत्रक
8213,stratchers,स्ट्रेचर
8214,endeavours,प्रयासों
8215,healthiest patrolling,स्वास्थ्यप्रद गश्त
8216,nangavaram,नंगावरम
8217,attraction postulated,आकर्षण माने
8218,sustenance,जीविका
8219,eliminator,एलिमिनेटर
8220,panchakuta,पंचकुटा
8221,purushavar fahrenheit,पुरुषवर फ़ारेनहाइट
8222,uniqueness predispose sunderbans,विशिष्टता संभावना अधिक होती है सुंदरबन
8223,jiyauddeen remarkable corrective,जियाउद्दीन विलक्षण सुधारात्मक
8224,astronomer,खगोल विज्ञानी
8225,aftershock,आफ्टरशॉक
8226,precession,अग्रगमन
8227,assistance,सहायता
8228,adptations,अनुकूलन
8229,languished transfered photobooth,निस्तेज स्थानांतरित फोन बूथ
8230,stalingrad,स्टेलिनग्राद
8231,homophobia,होमोफोबिया
8232,dwaipayana inspirited,द्वैपायन प्रेरित
8233,balaconies polydypsia escalation,बालकनियाँ पॉलीडिप्सिया वृद्धि
8234,affinities,समानताएं
8235,contending enrollment,विवाद उपस्थिति पंजी
8236,telescopic hemisphere kutumbakam,दूरबीन गोलार्द्ध कुटुंबकम
8237,ashtavarga,अष्टवर्ग
8238,ranthambar tumbaknari,रणथम्भर तुम्बकनारी
8239,unintended sentineles,अनायास प्रहरी
8240,sunderbans gangadhara criticised,सुंदरबन गंगाधर आलोचना की
8241,sriniketan,श्रीनिकेतन
8242,empathetic,सहानुभूति
8243,coldstream satyagrahi burglaries,ठंडी धारा सत्याग्रही चोरी
8244,puzzlingly chhandogya squabbling,उलझन पैदा करते हुए छांदोग्य विवादों
8245,phenomenol,घटना
8246,incubation,इन्क्यूबेशन
8247,peripheral,परिधीय
8248,unexplored,बेरोज़गार
8249,raghavanka anticlimax,राघवंका अवनति
8250,unfettered,निरंकुश
8251,silverware transfused,चांदी चढ़ाया
8252,equivalant,समकक्ष
8253,cercopidae,सर्कोपिडी
8254,moralideas,नैतिक विचार
8255,incredible disfigured,अविश्वसनीय विकृत
8256,paranthood underworld nagesvaram,पितृत्व अंडरवर्ल्ड नागेश्वरम
8257,anuvanshiq,अनुवंशिक
8258,squabbling ganganagar retaliated,विवादों गंगानगर जवाबी कार्रवाई
8259,threatened foredoomed,धमकाया पूर्वबर्बाद
8260,bheemghoda divestment embankment,भीमघोड़ा भंडाफोड़ तटबंध
8261,stepmother guaranteed salalullah,सौतेली माँ गारंटी सलालुल्लाह
8262,curvatures,वक्रता के
8263,shivakalin propitiate,शिवकालीन संतुष्ट करना
8264,negotiator sathyavati,मध्यस्थ सत्यवती
8265,federation transfused,फेडरेशन चढ़ाया
8266,permeating gregarious,व्याप्त झुण्ड में रहनेवाला
8267,yajurvedas relocation,यजुर्वेद पुनर्वास
8268,caddisworm,कैडिसवॉर्म
8269,embroidery quantities,कढ़ाई मात्रा
8270,polyploidy,बहुगुणिता
8271,princesses sedulously,राजकुमारियों लगन से
8272,captivated,मोहित
8273,retaliated,जवाबी कार्रवाई
8274,friendless percentile,मित्रहीन प्रतिशतता
8275,immobility,स्थिरता
8276,sarvajanik occasional,सार्वजनिक प्रासंगिक
8277,fatalities,घातक परिणाम
8278,stebblfild irrational,स्टेब्लफिल्ड तर्कहीन
8279,viswamitra,विश्वामित्र
8280,ultimatety chandrajit displeased,परमता चन्द्रजीत अप्रसन्न
8281,shrivastav vashishtha,श्रीवास्तव वशिष्ठ
8282,secularity underneath,धर्मनिरपेक्षता नीचे
8283,upanishada,उपनिषद
8284,guarantees,गारंटी
8285,experiment likelihood affections,प्रयोग संभावना प्यार
8286,polytheism sankranthi unbeliever,बहुदेववाद संक्रांति नास्तिक
8287,defecating,शौच
8288,indiginous universaly,स्वदेशी सार्वभौमिक
8289,satrangini,सतरंगिनी
8290,ecosystems uniqueness,पारिस्थितिकी प्रणालियों विशिष्टता
8291,headstrong activation,हठी सक्रियण
8292,indicative,सूचक
8293,inundation canterbury,सैलाब कैंटरबरी
8294,judicially,न्यायिक
8295,astonished,आश्चर्यचकित
8296,collective togetherly,सामूहिक एक साथ
8297,brahmaachy organizers,ब्रह्मचर्य आयोजकों
8298,chauvinism duryodhana krantikary,अंधराष्ट्रीयता दुर्योधन क्रांतिकारी
8299,disdainful,हेय
8300,uttarkhand,उत्तराखंड
8301,remodelled,पुन: बनाया
8302,filmmakers,फिल्म निर्माताओं
8303,cybercrime,साइबर क्राइम
8304,propagated amarkantak,प्रसारित अमरकंटक
8305,voodooists disruptive,जादू-टोना करने वाले हानिकारक
8306,devanagiri peeippalad entrusting,देवनागिरी पीप्पलाड ज़िंम करनेवाला
8307,intuitions occurences,अंतर्ज्ञान घटनाओं
8308,chengelpet mistreated,चेंगलपेट दुर्व्यवहार किया गया
8309,pharmacies,फार्मेसियों
8310,remembered witchcraft,याद आ गई जादू टोना
8311,mahabarath,महाभारत
8312,roundabout chhandogya mesmerised,गोल चक्कर छांदोग्य झूम उठे
8313,cricketers,क्रिकेटरों
8314,trichander,त्रिचंदर
8315,rotational,घुमानेवाला
8316,correspond,अनुरूप
8317,leguminous,फली का
8318,effeminate,स्रैण
8319,sundarbans,सुंदरवन
8320,indefinate ahoshonoan,अनिश्चित अहोशोनोअन
8321,outscoring symbolical stablished,आउटस्कोरिंग प्रतीकात्मक स्थापित
8322,underscore providence,बल देना मितव्ययिती
8323,offensives bookmarked,हमले बुकमार्क
8324,emblematic courtrooms,प्रतीकात्मक अदालत कक्ष
8325,kitabistan troposhere,किताबिस्तान क्षोभमंडल
8326,snobberies jenulabdin,दंभ जेनुलाब्दीन
8327,anticlimax burglaries,अवनति चोरी
8328,meltwaters distribute allegiance,पिघला हुआ पानी वितरित करें निष्ठा
8329,snowmobile executives,स्नोमोबाइल अधिकारियों
8330,wrongdoing presidence,अधर्म राष्ट्रपति
8331,reabsorbed recitative breathless,पुनः सोख लिया भाषण बेदम
8332,recommends,की सिफारिश की
8333,instituted recommital orphanages,संस्थापित अनुशंसा अनाथालयों
8334,expedients,समीचीन
8335,containers judgements,कंटेनरों निर्णय
8336,mercantile subscribes,व्यापारिक सदस्याएं
8337,almsgiving,भिक्षा देना
8338,germinates,अंकुरित
8339,propaganda,प्रचार करना
8340,invitation,आमंत्रण
8341,brahmbhatt,ब्रह्मभट्ट
8342,mahanasika recreation rusticated,महानासिका मनोरंजन निष्कासित
8343,perquisite,रिआयत
8344,kmbhakarna,किमीभकर्ण
8345,sikhandhar passionate,सिकन्दर जुनूनी
8346,permeating,व्याप्त
8347,importancy vidhivetha,महत्व विधिवेथा
8348,schoolkids,स्कूली बच्चे
8349,postponing,स्थगित
8350,delegation,प्रतिनिधि मंडल
8351,rajputanas,राजपूतानास
8352,exuberance,अधिकता
8353,inevitably containing,अनिवार्य रूप से युक्त
8354,quickening,स्पन्दन
8355,saharanpur,सहारनपुर
8356,mastermind,विख्यात मन
